organization,repository,ecosystem,package,version_spec,license,source_file,lookup_error
vector-charts,vector-charts-portal,npm,cross-env,^7.0.3,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,eslint,^7.32.0,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,eslint-plugin-react,^7.26.1,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,sass,^1.56.1,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,vite,^4.1.1,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,@aws-sdk/client-s3,^3.968.0,Apache-2.0,services/backend/package.json,
vector-charts,vector-charts-portal,npm,@aws-sdk/lib-storage,^3.968.0,Apache-2.0,services/backend/package.json,
vector-charts,vector-charts-portal,npm,@slack/oauth,^3.0.3,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,@slack/web-api,^7.9.3,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,@slack/webhook,^7.0.5,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,acme-client,^5.3.1,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,aws-sdk,^2.1311.0,Apache-2.0,services/backend/package.json,
vector-charts,vector-charts-portal,npm,bcryptjs,^2.4.3,BSD-3-Clause,services/backend/package.json,
vector-charts,vector-charts-portal,npm,compression,^1.7.4,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,config,^3.3.12,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,cors,^2.8.5,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,crypto,^1.0.1,ISC,services/backend/package.json,
vector-charts,vector-charts-portal,npm,escape-html,^1.0.3,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,express,^4.17.1,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,express-http-proxy,^1.6.2,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,express-rate-limit,^6.7.0,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,helmet,^4.6.0,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,http-status,^1.5.0,BSD-3-Clause,services/backend/package.json,
vector-charts,vector-charts-portal,npm,joi,^17.3.0,BSD-3-Clause,services/backend/package.json,
vector-charts,vector-charts-portal,npm,js-yaml,^4.1.0,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,jsonwebtoken,^8.5.1,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,lodash,^4.17.21,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,loops,^6.2.0,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,module-alias,^2.2.2,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,morgan,^1.10.0,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,multer,^1.4.3,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,node-os-utils,^1.3.5,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,nodemon,^2.0.0,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,nyc,^15.1.0,ISC,services/backend/package.json,
vector-charts,vector-charts-portal,npm,os-utils,^0.0.14,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,passport,^0.4.1,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,passport-custom,^1.1.1,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,passport-jwt,^4.0.0,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,passport-local,^1.0.0,unknown,services/backend/package.json,no_license_field
vector-charts,vector-charts-portal,npm,pg,^8.7.1,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,pg-format,^1.0.4,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,pg-hstore,^2.3.4,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,pm2,^5.1.2,AGPL-3.0,services/backend/package.json,
vector-charts,vector-charts-portal,npm,postgres-migrations,^5.3.0,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,postgres-schema-migrations,^6.1.0,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,querystring,^0.2.1,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,sequelize,^5.22.3,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,socket.io,^4.8.3,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,stripe,^19.3.1,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,utm,^1.1.1,MIT,services/backend/package.json,
